iter	Passed	Remaining
766	38846	11800
767	38896	11750
768	38949	11699
769	38996	11648
770	39051	11598
771	39100	11547
772	39148	11496
773	39200	11446
774	39247	11394
775	39299	11344
776	39349	11293
777	39397	11241
778	39444	11190
779	39512	11144
780	39565	11094
781	39613	11043
782	39660	10991
783	39709	10940
784	39757	10889
785	39806	10837
786	39854	10786
787	39904	10735
788	39951	10684
789	40000	10633
790	40054	10583
791	40103	10532
792	40150	10480
793	40197	10429
794	40245	10377
795	40295	10327
796	40367	10281
797	40445	10237
798	40518	10192
799	40585	10146
800	40654	10100
801	40735	10056
802	40783	10005
803	40831	9953
804	40884	9903
805	40933	9852
806	40982	9801
807	41036	9751
808	41086	9700
809	41135	9648
810	41184	9597
811	41244	9549
812	41295	9498
813	41350	9448
814	41399	9397
815	41450	9346
816	41500	9295
817	41547	9244
818	41597	9193
819	41645	9141
820	41693	9090
821	41743	9039
822	41792	8988
823	41841	8937
824	41891	8885
825	41940	8834
826	41989	8783
827	42042	8733
828	42090	8682
829	42138	8630
830	42186	8579
831	42234	8528
832	42284	8477
833	42332	8425
834	42379	8374
835	42426	8322
836	42475	8271
837	42524	8220
838	42571	8169
839	42619	8117
840	42667	8066
841	42714	8015
842	42762	7964
843	42808	7912
844	42855	7861
845	42904	7809
846	42954	7759
847	43001	7707
848	43053	7657
849	43100	7606
850	43148	7554
851	43196	7503
852	43243	7452
853	43292	7401
854	43340	7350
855	43386	7298
856	43434	7247
857	43483	7196
858	43530	7145
859	43578	7094
860	43626	7043
861	43674	6992
862	43722	6940
863	43770	6889
864	43818	6838
865	43864	6787
866	43912	6736
867	43966	6686
868	44020	6636
869	44068	6584
870	44115	6533
871	44168	6483
872	44215	6432
873	44266	6381
874	44313	6330
875	44360	6279
876	44407	6228
877	44456	6177
878	44504	6126
879	44552	6075
880	44601	6024
881	44649	5973
882	44696	5922
883	44745	5871
884	44792	5820
885	44840	5769
886	44887	5718
887	44934	5667
888	44983	5616
889	45035	5566
890	45083	5515
891	45130	5464
892	45177	5413
893	45225	5362
894	45275	5311
895	45323	5260
896	45369	5209
897	45416	5158
898	45464	5107
899	45511	5056
900	45565	5006
901	45615	4956
902	45666	4905
903	45720	4855
904	45781	4805
905	45831	4755
906	45879	4704
907	45929	4653
908	45983	4603
909	46036	4553
910	46087	4502
911	46135	4451
912	46184	4400
913	46231	4349
914	46286	4299
915	46334	4248
916	46384	4198
917	46434	4147
918	46482	4096
919	46530	4046
920	46578	3995
921	46627	3944
922	46682	3894
923	46731	3843
924	46789	3793
925	46860	3744
926	46916	3694
927	46966	3643
928	47019	3593
929	47069	3542
930	47118	3492
931	47165	3441
932	47220	3390
933	47270	3340
934	47318	3289
935	47367	3238
936	47416	3188
937	47464	3137
938	47514	3086
939	47563	3035
940	47610	2985
941	47657	2934
942	47706	2883
943	47755	2832
944	47803	2782
945	47853	2731
946	47903	2680
947	47950	2630
948	48004	2579
949	48064	2529
950	48130	2479
951	48181	2429
952	48229	2378
953	48278	2327
954	48327	2277
955	48375	2226
956	48422	2175
957	48485	2125
958	48543	2075
959	48591	2024
960	48639	1973
961	48686	1923
962	48733	1872
963	48781	1821
964	48828	1770
965	48876	1720
966	48922	1669
967	48976	1619
968	49026	1568
969	49074	1517
970	49122	1467
971	49169	1416
972	49217	1365
973	49266	1315
